sndr_id,sndr_acct_type,sndr_acct_cre_dt,sndr_tof,actv_bank_accts_on_file_cnt,actv_conf_bank_accts_cnt,has_bc_y_n,actv_cc_on_file_cnt,actv_conf_cc_on_file_cnt,cust_age_grp_code,cust_occup_code,cust_house_owned_status_code,cust_marital_status_code,cust_gendr_code,cust_est_income_range_code,cust_est_income_range_desc,cust_marital_status_desc,cust_house_owned_status_desc,cust_engagmnt_seg_key,cust_engagmnt_sub_lvl_3,cust_txn_activity_sub_seg,starts,dones
1628158293222146083 ,Guest-Upgradeable,4/4/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1633865113556626103 ,Consumer,5/20/2013,1Y-3Y,1,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,6,Casual,Casual,1,1
1998628094201672024 ,Business,9/30/2003,3Y+,1,1,N,2,0,34,*,O,M,M,3,"$20,000 - $29,999",MARRIED,HOMEOWNER,-98,NOT A CONSUMER,NOT A CONSUMER,8,8
1987202566250651108 ,Business,7/10/2000,3Y+,1,1,N,1,0,68,*,R,S,M,6,"$50,000 - $74,999",SINGLE,RENTER,-98,NOT A CONSUMER,NOT A CONSUMER,1,1
1465668683946243384 ,Consumer,12/3/2011,3Y+,1,0,N,1,0,50,*,O,M,M,6,"$50,000 - $74,999",MARRIED,HOMEOWNER,9,Lite Engaged 2,Lite Engaged 2,8,5
1379756310104434224 ,Guest-Upgradeable,12/9/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,2,2
1369514306596760962 ,Consumer,1/7/2003,3Y+,1,1,N,2,0,36,*,O,S,M,3,"$20,000 - $29,999",SINGLE,HOMEOWNER,9,Lite Engaged 2,Lite Engaged 2,36,33
1263357754581140634 ,Guest-Upgradeable,4/29/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,4,3
1577391620193172880 ,Consumer,9/29/2008,3Y+,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,10,Super Engaged 1,Super Engaged 1,69,68
2046527580449153759 ,Guest-Upgradeable,6/25/2015,0-3M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1535503580843376648 ,Guest-Upgradeable,1/25/2015,3-12M,0,0,N,0,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1279625946620999218 ,Consumer,6/23/2004,3Y+,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,10,Super Engaged 1,Super Engaged 1,53,53
1935830004559614051 ,Consumer,9/14/2012,1Y-3Y,1,1,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,3,Newly Churned,Newly Churned,2,1
1442130770267183967 ,Consumer,3/23/2006,3Y+,0,0,N,2,0,32,*,R,S,M,1,"Less than $15,000",SINGLE,RENTER,6,Casual,Casual,2,2
2174256906303693169 ,Consumer,7/30/2003,3Y+,0,0,N,1,0,80,*,O,M,M,4,"$30,000 - $39,000",MARRIED,HOMEOWNER,8,Lite Engaged 1,Lite Engaged 1,16,15
1448846473157192160 ,Guest-Upgradeable,7/20/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,2,2
1325837620474124913 ,Guest-Upgradeable,10/31/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2261907031979195411 ,Consumer,6/14/2007,3Y+,0,0,N,2,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,8,Lite Engaged 1,Lite Engaged 1,6,5
1719575458514880828 ,Consumer,8/1/2004,3Y+,1,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,3,3
1410449051519183104 ,Guest-Upgradeable,4/26/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,0
2015449458735849097 ,Consumer,10/5/2009,3Y+,1,1,N,5,0,62,*,O,M,M,6,"$50,000 - $74,999",MARRIED,HOMEOWNER,10,Super Engaged 1,Super Engaged 1,41,40
2142263617030873772 ,Guest-Upgradeable,2/4/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1700769844125379499 ,Consumer,2/12/2012,3Y+,1,0,N,2,0,-99,*,O,S,M,8,"$100,000 - $124,999",SINGLE,HOMEOWNER,6,Casual,Casual,1,1
2284813396751479539 ,Guest-Upgradeable,6/27/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,5,5
1774873540607201851 ,Guest-Upgradeable,1/10/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2157875384794627544 ,Consumer,10/6/2013,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,29,28
1248543125563036614 ,Guest-Upgradeable,3/29/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1211050660934300186 ,Consumer,6/17/2006,3Y+,0,0,N,3,0,28,*,O,M,M,9,"Greater than $124,999",MARRIED,HOMEOWNER,5,Single Transactor,Single Transactor,1,1
1329894819933685700 ,Consumer,3/9/2015,3-12M,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,8,Lite Engaged 1,Lite Engaged 1,19,15
1504307932406817181 ,Business,5/2/2000,3Y+,1,1,N,2,0,66,*,O,M,M,9,"Greater than $124,999",MARRIED,HOMEOWNER,-98,NOT A CONSUMER,NOT A CONSUMER,101,99
1968456621220428635 ,Consumer,10/16/2009,3Y+,1,1,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,7,Habituated,Habituated,7,6
1296811344848981092 ,Guest-Upgradeable,6/15/2015,0-3M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1243045047000750308 ,Consumer,9/29/2012,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,7,Habituated,Habituated,5,5
2165604883875162691 ,Consumer,11/1/2004,3Y+,2,2,N,6,0,40,*,O,M,M,7,"$75,000 - $99,999",MARRIED,HOMEOWNER,8,Lite Engaged 1,Lite Engaged 1,15,11
1556492069343662873 ,Guest-Upgradeable,8/22/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1987784838612597132 ,Consumer,8/6/2012,3Y+,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,8,Lite Engaged 1,Lite Engaged 1,2,2
1326786868941851379 ,Guest-Upgradeable,9/27/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,3,3
2247260379991427917 ,Consumer,5/4/2014,1Y-3Y,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,7,Habituated,Habituated,1,1
1197465685997673476 ,Consumer,2/21/2013,1Y-3Y,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,7,6
2155938177315326510 ,Consumer,2/28/2005,3Y+,1,1,N,3,2,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,11,Super Engaged 2,Super Engaged 2,133,125
1551579280575738599 ,Guest-Upgradeable,6/22/2015,0-3M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2124421848532425551 ,Consumer,12/11/2003,3Y+,1,1,N,1,0,70,*,O,M,F,8,"$100,000 - $124,999",MARRIED,HOMEOWNER,8,Lite Engaged 1,Lite Engaged 1,23,23
2232724498979153276 ,Consumer,3/31/2004,3Y+,1,1,N,7,0,64,*,R,S,F,6,"$50,000 - $74,999",SINGLE,RENTER,9,Lite Engaged 2,Lite Engaged 2,20,19
1630153182458529603 ,Consumer,9/25/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,7,Habituated,Habituated,2,2
1880103802223658479 ,Guest-Upgradeable,7/4/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,2,2
2151650723107398602 ,Guest-Upgradeable,12/14/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1764276458911052625 ,Guest-Upgradeable,6/7/2015,0-3M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1550778365495368664 ,Consumer,2/23/2011,3Y+,1,1,N,2,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,10,Super Engaged 1,Super Engaged 1,40,35
2028418734010680292 ,Consumer,9/9/2012,1Y-3Y,1,0,N,2,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,24,24
1334885463948923305 ,Guest-Upgradeable,2/17/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1205777471648731127 ,Consumer,10/9/2014,3-12M,1,1,N,2,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,6,Casual,Casual,6,2
2274052187171499860 ,Guest-Upgradeable,3/2/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
