cust_id,CAL_DT,TPV,cnt
2204620000000000000,8/5/2015,13.47,1
1250760000000000000,7/21/2015,29.99,1
1773580000000000000,8/5/2013,39.00,1
1306490000000000000,12/25/2013,0.00,0
2094310000000000000,3/22/2015,14.50,2
1484200000000000000,9/25/2013,12.99,1
1873010000000000000,10/16/2013,253.98,1
2207610000000000000,8/27/2013,14.99,1
2178760000000000000,8/8/2013,1707.26,1
1571460000000000000,10/19/2014,-18.61,-1
1730940000000000000,6/17/2015,22.00,1
1664780000000000000,11/5/2013,0.00,0
1689970000000000000,9/26/2013,13.00,1
1714790000000000000,2/13/2014,60.00,2
1752400000000000000,11/27/2013,26.92,1
1910420000000000000,10/29/2013,313.18,2
1565560000000000000,7/26/2013,30.00,1
2281010000000000000,7/2/2013,47.89,2
2188900000000000000,5/2/2014,97.15,1
1769450000000000000,10/22/2014,12.31,1
2038420000000000000,3/5/2014,6.35,1
1502370000000000000,12/24/2013,119.98,1
1849660000000000000,7/28/2015,46.64,3
1410520000000000000,10/5/2014,24.84,1
1941770000000000000,7/12/2013,13.99,1
1781950000000000000,9/5/2013,0.00,0
1382970000000000000,12/4/2014,106.65,3
1664150000000000000,2/24/2014,54.99,1
1499260000000000000,7/21/2013,8.99,1
1181330000000000000,7/29/2013,54.67,1
1531550000000000000,7/26/2013,6.99,1
2004690000000000000,5/2/2014,14.99,1
2209260000000000000,5/18/2015,15.95,1
1536060000000000000,5/12/2015,8.99,1
1498730000000000000,3/7/2015,57.04,2
2233680000000000000,10/12/2013,22.82,3
1927350000000000000,2/3/2014,937.50,1
1936220000000000000,6/17/2015,208.99,2
2185010000000000000,8/3/2014,6.99,1
2185010000000000000,9/6/2013,-4.50,-1
2030710000000000000,4/24/2014,22.00,1
1495820000000000000,8/8/2015,19.99,1
1652990000000000000,4/26/2014,649.99,2
1163900000000000000,5/15/2014,-10.00,0
1372310000000000000,9/15/2013,10.80,1
2093690000000000000,9/16/2013,103.00,1
1810980000000000000,7/22/2015,79.16,1
1243730000000000000,7/3/2013,360.00,1
1392540000000000000,7/16/2013,52.36,1
1416640000000000000,7/6/2015,125.00,1
1890430000000000000,9/3/2014,9.29,1
1869270000000000000,7/30/2013,74.00,1
1537400000000000000,9/21/2014,49.97,3
1609550000000000000,1/15/2015,-81.44,0
2157510000000000000,1/13/2014,11.01,1
1803370000000000000,8/11/2014,9.99,1
1180340000000000000,7/26/2013,899.99,1
1179440000000000000,9/24/2014,274.74,2
1951040000000000000,1/27/2015,0.00,0
2262230000000000000,1/31/2014,30.00,2
1339000000000000000,7/22/2013,31.00,1
1648870000000000000,5/8/2015,43.09,1
1803080000000000000,5/3/2015,23.95,5
1827270000000000000,10/8/2014,185.00,1
1576680000000000000,12/6/2013,-22.00,-1
1648870000000000000,10/9/2014,-85.95,0
1169880000000000000,3/27/2014,3000.00,1
1780100000000000000,8/21/2013,1193.59,3
1993630000000000000,6/18/2015,0.00,0
1527000000000000000,5/14/2015,165.15,1
1653780000000000000,12/1/2014,66.75,2
2130720000000000000,9/7/2013,3.99,1
1790830000000000000,7/28/2014,53.50,1
1165940000000000000,7/11/2013,21.64,1
1453570000000000000,11/30/2013,48.90,2
1271800000000000000,3/28/2014,59.87,1
1421630000000000000,2/25/2014,261.24,5
1715580000000000000,3/7/2015,29.00,3
1492800000000000000,1/18/2014,1.72,1
1560260000000000000,7/22/2013,11.61,1
1803240000000000000,4/3/2014,479.99,1
1633050000000000000,9/17/2013,-29.95,-1
1172870000000000000,9/20/2013,36.49,1
2172130000000000000,7/11/2013,10.00,1
1619180000000000000,12/24/2013,0.00,0
1526870000000000000,12/22/2014,350.00,1
2067630000000000000,7/22/2013,10.00,1
1596220000000000000,8/12/2014,9.99,1
1694410000000000000,4/8/2015,27.98,1
2241770000000000000,9/14/2014,659.45,1
2164650000000000000,7/29/2014,50.00,1
1639240000000000000,1/23/2014,622.88,2
1718360000000000000,6/3/2014,67.70,2
1532360000000000000,7/26/2013,60.96,2
1830110000000000000,10/22/2013,36.89,1
1793600000000000000,7/9/2015,0.00,0
1492130000000000000,11/23/2013,4.95,1
1349760000000000000,2/21/2014,52.48,1
2106430000000000000,6/24/2014,50.00,2
1573500000000000000,11/23/2014,12.39,1
1364340000000000000,2/22/2015,9.90,2
1637960000000000000,7/7/2015,21.04,1
1168550000000000000,8/26/2014,29.99,1
2294170000000000000,8/24/2013,153.94,2
1436260000000000000,4/3/2014,9.99,1
1537400000000000000,9/18/2014,49.97,3
1313180000000000000,6/23/2014,44.76,1
1718360000000000000,4/13/2015,50.00,1
1930400000000000000,10/7/2013,12.99,1
1879960000000000000,3/17/2015,10.00,1
1691000000000000000,4/2/2015,3.25,1
1426290000000000000,7/22/2013,49.99,1
2226790000000000000,11/14/2014,13.36,1
1331740000000000000,10/5/2014,1.99,1
2295070000000000000,5/15/2014,136.14,2
1282330000000000000,9/23/2014,14.99,1
1730940000000000000,9/4/2013,10.00,1
1564540000000000000,8/22/2014,17.39,1
1949180000000000000,1/13/2015,138.68,1
1609050000000000000,10/13/2013,392.97,1
2157030000000000000,9/1/2013,0.00,0
1564140000000000000,3/27/2015,185.48,4
2132060000000000000,3/1/2015,9.99,1
1639240000000000000,3/9/2014,16.94,1
2279090000000000000,5/14/2014,6.00,1
2222130000000000000,12/1/2014,10.00,1
2239380000000000000,7/18/2014,0.70,1
2212540000000000000,3/30/2015,106.00,1
1376840000000000000,10/22/2014,12.00,1
2183270000000000000,9/26/2013,4.95,1
1871500000000000000,11/7/2013,83.00,1
2178760000000000000,11/13/2013,67.94,1
1789290000000000000,4/2/2015,144.95,1
1704620000000000000,8/5/2015,16.99,1
1715580000000000000,5/19/2015,23.00,1
1747130000000000000,11/16/2014,11.00,1
1307400000000000000,11/30/2014,12.88,1
1334100000000000000,9/21/2014,51.17,1
1741610000000000000,1/22/2015,43.09,2
2234990000000000000,1/6/2015,44.99,1
1663550000000000000,2/9/2014,137.78,1
2071650000000000000,8/30/2014,114.35,2
1994360000000000000,10/8/2014,250.00,1
1290010000000000000,5/7/2014,20.50,1
2097170000000000000,3/8/2015,38.30,6
1365640000000000000,10/24/2014,3.09,1
1339000000000000000,7/14/2015,-97.12,0
1337050000000000000,12/9/2014,87.81,1
1971010000000000000,2/28/2015,22.32,1
1874300000000000000,3/31/2015,13.08,1
1753010000000000000,6/8/2015,3.00,1
2032220000000000000,12/1/2013,9.95,1
1389560000000000000,9/14/2013,8.38,1
2071650000000000000,6/2/2015,2.99,1
1964410000000000000,7/21/2013,13.00,1
1441350000000000000,9/26/2013,0.00,0
2207610000000000000,11/26/2013,33.75,1
1197670000000000000,8/4/2013,52.67,2
1679510000000000000,9/23/2013,37.00,1
1810980000000000000,1/18/2015,12.79,1
1484200000000000000,9/22/2013,205.24,4
1573940000000000000,9/21/2014,10.51,2
1357100000000000000,9/9/2014,5.99,1
1704620000000000000,9/29/2013,33.00,1
2110010000000000000,5/5/2015,4.85,1
1180330000000000000,7/4/2015,23.64,1
1843360000000000000,1/27/2015,14.95,1
1250760000000000000,1/21/2014,36.99,2
1387230000000000000,8/9/2013,102.86,1
1421630000000000000,10/9/2014,23.99,1
1890430000000000000,10/28/2014,7.95,1
2037390000000000000,7/13/2015,24.50,3
1564140000000000000,6/10/2014,40.00,1
2032750000000000000,1/19/2015,89.00,1
1504450000000000000,7/15/2013,217.49,1
1820490000000000000,5/19/2015,4.95,1
1684940000000000000,10/14/2014,51.51,1
1782670000000000000,9/3/2013,9.99,1
1271660000000000000,4/23/2015,55.74,1
1433500000000000000,8/28/2014,16.00,1
1313820000000000000,2/7/2015,0.99,1
1558650000000000000,9/21/2014,11.24,1
1295670000000000000,12/22/2013,25.00,1
1698620000000000000,10/3/2014,23.84,1
1684940000000000000,7/6/2014,343.40,2
1600030000000000000,7/19/2014,81.69,3
2187240000000000000,7/27/2013,34.95,1
1163900000000000000,3/29/2014,75.00,2
1945420000000000000,11/4/2013,44.00,1
1721080000000000000,7/12/2013,9.80,1
1172870000000000000,7/30/2014,18.85,1
1176270000000000000,5/29/2015,149.05,1
2249090000000000000,8/27/2014,77.47,1
1313820000000000000,12/13/2014,64.32,2
1406490000000000000,11/27/2014,0.00,0
1589960000000000000,5/13/2015,13.10,2
1769450000000000000,8/30/2014,9.25,1
2185010000000000000,4/5/2014,131.94,3
1315610000000000000,1/23/2015,418.00,2
1971010000000000000,7/22/2015,7.50,1
1727390000000000000,7/15/2013,10.74,1
1169880000000000000,12/11/2013,41.75,2
1152940000000000000,9/6/2013,74.15,4
1229570000000000000,2/26/2014,77.10,2
1495820000000000000,5/6/2015,49.95,2
1481290000000000000,8/8/2013,0.00,0
1524290000000000000,10/21/2013,25.00,1
2188900000000000000,12/26/2013,75.00,1
2185010000000000000,7/17/2013,42.05,5
1238940000000000000,3/27/2014,196.74,1
2098600000000000000,2/19/2014,34.99,1
1364340000000000000,12/5/2014,31.98,1
1526870000000000000,6/18/2014,187.00,1
1387230000000000000,2/14/2015,9.99,1
1985780000000000000,9/5/2013,27.82,1
1527130000000000000,9/12/2014,-214.12,-1
