cust,date,tpv,cnt
1604451543546765140,27-10-2014,151.4,1
1979219604365670013,14-07-2014,14.3,2
2177687470044673115,04-09-2014,55.0,10
1875127376389468554,01-10-2014,209.0,1
1656350335474068898,17-03-2015,32.1,1
2294258814099447167,05-03-2014,20.7,1
1676522901090844026,13-11-2014,375.0,1
1939176431502981312,22-10-2014,9.5,1
2270490863202706980,03-06-2014,-7.5,0
2267940087544452431,18-01-2015,63.0,1
1518297932513072772,27-07-2013,11.8,1
1553918912394353080,23-09-2013,100.0,1
1846433693711505452,10-09-2015,27.7,1
1943029360367753812,30-11-2014,40.5,1
1688812429929425609,06-03-2015,8.2,1
1776888317948669657,17-04-2015,55.3,3
1561770452124181897,05-06-2014,166.0,1
1580962907870543225,30-01-2015,269.5,3
1509433165407321550,29-07-2014,9.0,1
1886424693085712652,11-10-2014,236.9,1
1656181320183923554,21-06-2014,33.0,2
1393024643419396230,02-07-2013,298.9,1
1816235342642391424,24-03-2014,19.0,1
1889090804221919619,29-07-2013,148.2,1
2161838263413143899,19-12-2013,41.1,1
2175888645277455039,12-08-2013,-15.0,-1
1991317721471692538,02-10-2015,60.0,1
1450860344949531072,04-05-2014,18.8,2
1975869351872894191,29-01-2014,9.7,1
2186974901409953186,10-07-2013,34.0,1
1283312266871675728,30-01-2015,750.0,1
1886000501476150613,20-08-2015,8.6,1
2240904243675894270,12-11-2014,0.0,0
1612688426530280735,20-11-2013,-37.0,-1
1959473563270446852,12-04-2014,15.0,1
2282818657142828111,26-11-2014,75.7,1
1420695044059909353,26-02-2015,41.6,1
2266730327487311075,16-06-2014,42.5,1
1267156213540551847,22-09-2015,7.8,1
1261828691135588164,31-08-2015,4.0,1
2127406820998794510,24-07-2013,77.5,1
2230026929437529147,28-06-2015,124.0,1
1345660496152113831,16-07-2013,20.0,1
1551329849122098442,20-07-2013,40.8,1
2097127770734963690,09-08-2014,-14.4,-1
2267940087544452431,21-10-2014,8.0,1
2266903538311111979,06-12-2013,129.8,1
1728588040026104386,22-11-2013,46.0,2
2058846989631198413,23-07-2015,2.0,1
1195930255518677349,06-09-2013,0.0,0
1814906485312786118,05-03-2015,242.4,2
1501544449234937737,30-06-2015,26.9,1
1533467058662210582,24-02-2015,0.0,0
1297778627737145314,01-08-2015,10.0,1
1451497464647126502,29-07-2014,47.2,2
1823449977733995920,14-07-2013,0.0,0
1266947023205935185,19-10-2014,376.0,1
2137368842272772829,31-07-2013,20.0,1
2022395347914563085,23-11-2014,7.0,1
1228328177576975453,13-07-2013,18.3,3
1434335317074880490,15-09-2013,18.4,1
1264108063622710659,27-05-2015,35.4,1
1994624923897542028,23-03-2015,119.0,1
1564036194320202841,23-12-2014,-9.0,-1
1283312266871675728,27-03-2015,750.0,1
1392110492253441377,14-03-2014,39.1,2
1606115452303149003,08-10-2014,-12.7,-2
1471511880959351989,02-07-2013,0.0,0
1823064895374807606,29-08-2015,31.0,2
1502052567330726921,24-11-2014,-93.0,-1
1362169571037412833,26-07-2013,5.0,1
2267940087544452431,08-11-2014,15.0,1
2232471543220130929,21-08-2015,46.9,1
1797354754238207618,22-04-2015,116.7,1
2055037309198444070,20-02-2014,6.7,1
1800492037041299568,21-03-2014,465.0,3
1220121395119502357,12-08-2014,-90.0,-1
1471602670902209700,12-07-2015,6.2,1
1285204248847142517,12-03-2015,0.0,0
2243863982707925968,16-07-2015,-25.0,-1
2046759401710504633,02-11-2014,15.0,1
1406475603056739882,23-01-2015,10.0,1
1353646807280206984,12-05-2015,115.0,1
